id,title,tip_summary,recommended_action,expected_benefit,difficulty_level,audience,content_type
337,Nutrition during pregnancy,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,reduces stress levels,moderate,new_mothers,expert_tip
338,Healthy sleep habits for mothers,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves recovery after childbirth,moderate,pregnant_women,expert_tip
339,Hydration during pregnancy,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves recovery after childbirth,easy,all_women,expert_tip
340,Managing fatigue in pregnancy,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,easy,pregnant_women,expert_tip
341,Building healthy daily routines,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,reduces stress levels,easy,pregnant_women,expert_tip
342,Healthy sleep habits for mothers,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,improves recovery after childbirth,easy,new_mothers,expert_tip
343,Hydration during pregnancy,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves recovery after childbirth,easy,new_mothers,expert_tip
344,Emotional wellness during pregnancy,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,enhances emotional well-being,easy,pregnant_women,expert_tip
345,Exercise for pregnant women,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,reduces stress levels,easy,new_mothers,expert_tip
346,Exercise for pregnant women,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,reduces stress levels,easy,new_mothers,expert_tip
347,Healthy sleep habits for mothers,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,supports infant development,moderate,pregnant_women,expert_tip
348,Emotional wellness during pregnancy,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,supports infant development,easy,all_women,expert_tip
349,Breastfeeding practices,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,reduces stress levels,moderate,new_mothers,expert_tip
350,Building healthy daily routines,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,supports infant development,easy,new_mothers,expert_tip
