id,topic,description,risk_symptom,recommended_precaution,severity_level,tags,reference_type
308,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,persistent headaches,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
309,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",educational
310,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fatigue,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
311,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",educational
312,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,heavy bleeding,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
313,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
314,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
315,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",educational
316,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,fever,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",educational
317,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
318,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",educational
319,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,heavy bleeding,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
320,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",educational
321,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",educational
322,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fatigue,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
323,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,unusual discharge,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
324,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,heavy bleeding,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
325,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,heavy bleeding,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
326,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",educational
327,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
328,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,heavy bleeding,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
329,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
330,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,fatigue,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",educational
331,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,dizziness,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",educational
332,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
333,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,heavy bleeding,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
334,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,dizziness,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
335,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,dizziness,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
336,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fever,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
337,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,heavy bleeding,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",educational
338,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fever,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
339,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,fatigue,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",educational
340,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,dizziness,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
341,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,persistent headaches,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",educational
342,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
343,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
344,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,fatigue,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
345,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,persistent headaches,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
346,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",educational
347,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,heavy bleeding,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
348,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,heavy bleeding,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
349,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,fever,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
350,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,dizziness,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
